postcode,locality,locality_dash,suburb_postcode,lat,long,2-bed-house-buy,1-bed-unit-buy,2-bed-house-rent,1-bed-unit-rent,3-bed-house-buy,2-bed-unit-buy,3-bed-house-rent,2-bed-unit-rent,4-bed-house-buy,3-bed-unit-buy,4-bed-house-rent,3-bed-unit-rent,2-bed-house-rent-buy-ratio,RANK_2-bed-house-rent-buy-ratio,INTEREST_2-bed-house,Yearly_RENT_2-bed-house,LAND_TAX_2-bed-house,INVEST_LOSS_2-bed-house,INVEST_LOSS_RATIO_2-bed-house,RANK_INVEST_LOSS_2-bed-house,1-bed-unit-rent-buy-ratio,RANK_1-bed-unit-rent-buy-ratio,INTEREST_1-bed-unit,Yearly_RENT_1-bed-unit,LAND_TAX_1-bed-unit,INVEST_LOSS_1-bed-unit,INVEST_LOSS_RATIO_1-bed-unit,RANK_INVEST_LOSS_1-bed-unit,3-bed-house-rent-buy-ratio,RANK_3-bed-house-rent-buy-ratio,INTEREST_3-bed-house,Yearly_RENT_3-bed-house,LAND_TAX_3-bed-house,INVEST_LOSS_3-bed-house,INVEST_LOSS_RATIO_3-bed-house,RANK_INVEST_LOSS_3-bed-house,2-bed-unit-rent-buy-ratio,RANK_2-bed-unit-rent-buy-ratio,INTEREST_2-bed-unit,Yearly_RENT_2-bed-unit,LAND_TAX_2-bed-unit,INVEST_LOSS_2-bed-unit,INVEST_LOSS_RATIO_2-bed-unit,RANK_INVEST_LOSS_2-bed-unit,4-bed-house-rent-buy-ratio,RANK_4-bed-house-rent-buy-ratio,INTEREST_4-bed-house,Yearly_RENT_4-bed-house,LAND_TAX_4-bed-house,INVEST_LOSS_4-bed-house,INVEST_LOSS_RATIO_4-bed-house,RANK_INVEST_LOSS_4-bed-house,3-bed-unit-rent-buy-ratio,RANK_3-bed-unit-rent-buy-ratio,INTEREST_3-bed-unit,Yearly_RENT_3-bed-unit,LAND_TAX_3-bed-unit,INVEST_LOSS_3-bed-unit,INVEST_LOSS_RATIO_3-bed-unit,RANK_INVEST_LOSS_3-bed-unit
3000,MELBOURNE,MELBOURNE,MELBOURNE-3000-vic,-37.817403000000006,144.956776,inf,337750.0,640,450,inf,500000.0,0,610,inf,831500.0,0,910,0.0,144.0,-inf,25940,-inf,-inf,,,13.323464100666174,3.0,-14016.625,17200,-349.175,1989.609375,5.890775351591414,3.0,0.0,500.0,-inf,-3500,-inf,-inf,,,12.2,9.0,-20750.0,24560,-625.0,2381.25,4.7625,2.0,0.0,344.0,-inf,-3500,-inf,-inf,,,10.944076969332531,9.0,-34507.25,38360,-1508.875,2407.96875,2.8959335538184003,3.0
3001,MELBOURNE,MELBOURNE,MELBOURNE-3001-vic,0.0,0.0,inf,337750.0,640,450,inf,500000.0,0,610,inf,831500.0,0,910,0.0,145.0,-inf,25940,-inf,-inf,,,13.323464100666174,4.0,-14016.625,17200,-349.175,1989.609375,5.890775351591414,4.0,0.0,501.0,-inf,-3500,-inf,-inf,,,12.2,10.0,-20750.0,24560,-625.0,2381.25,4.7625,3.0,0.0,345.0,-inf,-3500,-inf,-inf,,,10.944076969332531,10.0,-34507.25,38360,-1508.875,2407.96875,2.8959335538184003,4.0
3002,EAST MELBOURNE,EAST-MELBOURNE,EAST-MELBOURNE-3002-vic,-37.818517,144.98220700000002,inf,495000.0,650,435,inf,748500.0,923,580,inf,inf,995,950,0.0,146.0,-inf,26400,-inf,-inf,,,8.787878787878787,77.0,-20542.5,16510,-616.5,-2520.3125,-5.091540404040404,68.0,0.0,502.0,-inf,38958,-inf,-inf,,,7.748830995323981,160.0,-31062.75,23180,-1156.125,-4926.71875,-6.582122578490314,112.0,0.0,346.0,-inf,42270,-inf,-inf,,,0.0,230.0,-inf,40200,-inf,-inf,,
3003,WEST MELBOURNE,WEST-MELBOURNE,WEST-MELBOURNE-3003-vic,-37.810871,144.949592,inf,366000.0,500,420,inf,599500.0,690,560,inf,inf,0,780,0.0,147.0,-inf,19500,-inf,-inf,,,11.475409836065573,35.0,-15189.0,15820,-397.2,394.375,1.0775273224043715,33.0,0.0,503.0,-inf,28240,-inf,-inf,,,9.341117597998332,82.0,-24879.25,22260,-794.15,-1637.03125,-2.730660967472894,48.0,0.0,347.0,-inf,-3500,-inf,-inf,,,0.0,231.0,-inf,32380,-inf,-inf,,
3004,MELBOURNE,MELBOURNE,MELBOURNE-3004-vic,-37.844246000000005,144.97016100000002,inf,410000.0,0,450,inf,645000.0,0,595,inf,1100000.0,0,1000,0.0,148.0,-inf,-3500,-inf,-inf,,,10.975609756097562,37.0,-17015.0,17200,-472.0,115.625,0.2820121951219512,36.0,0.0,504.0,-inf,-3500,-inf,-inf,,,9.224806201550388,86.0,-26767.5,23870,-871.5,-1810.9375,-2.80765503875969,50.0,0.0,348.0,-inf,-3500,-inf,-inf,,,9.090909090909092,55.0,-45650.0,42500,-2650.0,-1968.75,-1.7897727272727273,38.0
3004,ST KILDA ROAD CENTRAL,ST-KILDA-ROAD-CENTRAL,ST-KILDA-ROAD-CENTRAL-3004-vic,-37.844246000000005,144.97016100000002,inf,inf,0,0,inf,inf,0,0,inf,inf,0,0,0.0,149.0,-inf,-3500,-inf,-inf,,,0.0,92.0,-inf,-3500,-inf,-inf,,,0.0,505.0,-inf,-3500,-inf,-inf,,,0.0,267.0,-inf,-3500,-inf,-inf,,,0.0,349.0,-inf,-3500,-inf,-inf,,,0.0,232.0,-inf,-3500,-inf,-inf,,
3004,ST KILDA ROAD MELBOURNE,ST-KILDA-ROAD-MELBOURNE,ST-KILDA-ROAD-MELBOURNE-3004-vic,0.0,0.0,inf,inf,0,0,inf,inf,0,0,inf,inf,0,0,0.0,150.0,-inf,-3500,-inf,-inf,,,0.0,93.0,-inf,-3500,-inf,-inf,,,0.0,506.0,-inf,-3500,-inf,-inf,,,0.0,268.0,-inf,-3500,-inf,-inf,,,0.0,350.0,-inf,-3500,-inf,-inf,,,0.0,233.0,-inf,-3500,-inf,-inf,,
3005,WORLD TRADE CENTRE,WORLD-TRADE-CENTRE,WORLD-TRADE-CENTRE-3005-vic,-37.824608000000005,144.950858,inf,inf,0,0,inf,inf,0,0,inf,inf,0,0,0.0,151.0,-inf,-3500,-inf,-inf,,,0.0,94.0,-inf,-3500,-inf,-inf,,,0.0,507.0,-inf,-3500,-inf,-inf,,,0.0,269.0,-inf,-3500,-inf,-inf,,,0.0,351.0,-inf,-3500,-inf,-inf,,,0.0,234.0,-inf,-3500,-inf,-inf,,
3006,SOUTH WHARF,SOUTH-WHARF,SOUTH-WHARF-3006-vic,144.9520744,144.9520744,inf,inf,0,0,inf,inf,0,0,inf,inf,0,0,0.0,152.0,-inf,-3500,-inf,-inf,,,0.0,95.0,-inf,-3500,-inf,-inf,,,0.0,508.0,-inf,-3500,-inf,-inf,,,0.0,270.0,-inf,-3500,-inf,-inf,,,0.0,352.0,-inf,-3500,-inf,-inf,,,0.0,235.0,-inf,-3500,-inf,-inf,,
3006,SOUTHBANK,SOUTHBANK,SOUTHBANK-3006-vic,0.0,0.0,inf,368000.0,0,470,inf,581000.0,0,600,inf,808500.0,0,950,0.0,153.0,-inf,-3500,-inf,-inf,,,12.771739130434783,32.0,-15272.0,18120,-400.6,1780.0,4.83695652173913,31.0,0.0,509.0,-inf,-3500,-inf,-inf,,,10.327022375215146,57.0,-24111.5,24100,-762.7,-7.1875,-0.01237091222030981,35.0,0.0,353.0,-inf,-3500,-inf,-inf,,,11.750154607297464,4.0,-33552.75,40200,-1411.125,4154.53125,5.138566790352504,2.0
